# Hostname exactly matches dhcf.dc.gov,,
# Start date: 20250916,,
# End date: 20251216,,
,,
Page title and screen class,Page path and screen class,Views
| dhcf,/,15625
| dhcf,//checkout/,1
| dhcf,/es,1
| dhcf,/node,498
| dhcf,/node/,1
| dhcf,/vi,1
| dhcf,/vi/node,1
| Page 2 | dhcf,/es/node,5
| Page 2 | dhcf,/fr/node,9
| Page 4 | dhcf,/am/node,2
"1015 Half Street, SE, 9th Floor | dhcf",/address/1015-half-street-se-9th-floor,6
"1111 14th Street, NW | dhcf",/address/1111-14th-street-nw,23
"1111 14th Street, NW | dhcf",/fr/node/1294951,7
1115 Behavioral Health Transformation Demonstration Program Notice of Emergency and Proposed Rulemaking | dhcf,/node/1445841,1
1115 Behavioral Health Transformation Demonstration Program Notice of Emergency and Proposed Rulemaking | dhcf,/publication/1115-behavioral-health-transformation-demonstration-program-notice-emergency-and,1
1115 Behavioral Health Transformation Demonstration Program Notice of Second Emergency and Proposed Rulemaking | dhcf,/node/1503276,2
1115 Behavioral Health Transformation Demonstration Program Notice of Second Emergency and Proposed Rulemaking | dhcf,/publication/1115-behavioral-health-transformation-demonstration-program-notice-second-emergency-and,6
"1800 Martin Luther King Jr. Avenue, SE | dhcf",/address/1800-martin-luther-king-jr-avenue-se,3
1915 (i) State Plan Home and Community-Based Services Administration and Operation Attachment 3.1I | dhcf,/node/1099902,10
1915 (i) State Plan Home and Community-Based Services Administration and Operation Attachment 3.1I | dhcf,/publication/1915-i-state-plan-home-and-community-based-services-administration-and-operation,2
1915(c) Elderly and Physically Disabled Waiver | dhcf,/node/193812,17
1915(c) Elderly and Physically Disabled Waiver | dhcf,/publication/1915c-elderly-and-physically-disabled-waiver,5
1915(c) Home and Community Based Services Waiver | dhcf,/node/1481761,12
1915(c) Home and Community Based Services Waiver | dhcf,/publication/1915c-home-and-community-based-services-waiver,8
1915(c) Mental Retardation/Developmental Disabilities Waiver | dhcf,/node/193832,8
2009 DHCF Medicaid Updates | dhcf,/am/page/2009-dhcf-medicaid-updates,2
2009 DHCF Medicaid Updates | dhcf,/es/page/2009-dhcf-medicaid-updates,1
2009 DHCF Medicaid Updates | dhcf,/page/2009-dhcf-medicaid-updates,10
2010 DHCF Medicaid Updates | dhcf,/es/page/2010-dhcf-medicaid-updates,1
2010 DHCF Medicaid Updates | dhcf,/page/2010-dhcf-medicaid-updates,4
2011 DHCF Medicaid Updates | dhcf,/am/page/2011-dhcf-medicaid-updates,2
2011 DHCF Medicaid Updates | dhcf,/page/2011-dhcf-medicaid-updates,5
2011 District of Columbia Annual Technical Report (ATR) | dhcf,/node/501502,3
2011 District of Columbia Annual Technical Report (ATR) | dhcf,/publication/2011-district-columbia-annual-technical-report-atr,1
2011 Listing | dhcf,/page/2011-listing,3
2012 DC HealthCare Alliance Eligibility Changes FAQ - Amharic | dhcf,/node/160542,5
2012 DC HealthCare Alliance Eligibility Changes FAQ - Chinese | dhcf,/node/160592,7
2012 DC HealthCare Alliance Eligibility Changes FAQ - Chinese | dhcf,/publication/2012-dc-healthcare-alliance-eligibility-changes-faq-chinese,5
2012 DC HealthCare Alliance Eligibility Changes FAQ - English | dhcf,/node/160522,7
2012 DC HealthCare Alliance Eligibility Changes FAQ - French | dhcf,/node/160562,5
2012 DC HealthCare Alliance Eligibility Changes FAQ - Korean | dhcf,/node/160572,5
2012 DC HealthCare Alliance Eligibility Changes FAQ - Korean | dhcf,/publication/2012-dc-healthcare-alliance-eligibility-changes-faq-korean,6
2012 DC HealthCare Alliance Eligibility Changes FAQ - Spanish | dhcf,/node/160582,9
2012 DC HealthCare Alliance Eligibility Changes FAQ - Spanish | dhcf,/publication/2012-dc-healthcare-alliance-eligibility-changes-faq-spanish,1
2012 DC HealthCare Alliance Eligibility Changes FAQ - Vietnamese | dhcf,/node/160532,1
2012 District of Columbia Annual Technical Report (ATR) | dhcf,/node/779182,7
2012 District of Columbia Annual Technical Report (ATR) | dhcf,/publication/2012-district-columbia-annual-technical-report-atr,5
2013 DHCF Medicaid Updates | dhcf,/fr/page/2013-dhcf-medicaid-updates-01,4
2013 DHCF Medicaid Updates | dhcf,/page/2013-dhcf-medicaid-updates-01,4
2013 District of Columbia Annual Technical Report (ATR) | dhcf,/node/823602,2
2013 District of Columbia Annual Technical Report (ATR) | dhcf,/publication/2013-district-columbia-annual-technical-report-atr,4
2014 DC HIE Policy Board Meeting Schedule | dhcf,/node/568352,9
2014 DC HIE Policy Board Meeting Schedule | dhcf,/publication/2014-dc-hie-policy-board-meeting-schedule,1
2014 District of Columbia Annual Technical Report (ATR) | dhcf,/node/1062392,9
2014 District of Columbia Annual Technical Report (ATR) | dhcf,/publication/2014-district-columbia-annual-technical-report-atr,1
2014 Listing | dhcf,/es/page/2014-listing,6
2014 Listing | dhcf,/page/2014-listing,4
2014 Managed Care Program End-of Year Performance Report Card | dhcf,/node/1060052,6
2015 DHCF Medicaid Updates | dhcf,/es/page/2015-dhcf-medicaid-updates,5
2015 DHCF Medicaid Updates | dhcf,/fr/page/2015-dhcf-medicaid-updates,6
2015 DHCF Medicaid Updates | dhcf,/page/2015-dhcf-medicaid-updates,9
2015 District of Columbia Annual Technical Report (ATR) | dhcf,/node/1152776,9
2015 District of Columbia Annual Technical Report (ATR) | dhcf,/publication/2015-district-columbia-annual-technical-report-atr,7
2016 DHCF Medicaid Updates | dhcf,/am/page/2016-dhcf-medicaid-updates,2
2016 DHCF Medicaid Updates | dhcf,/es/page/2016-dhcf-medicaid-updates,4
2016 DHCF Medicaid Updates | dhcf,/page/2016-dhcf-medicaid-updates,25
2016 District of Columbia Annual Technical Report (ATR) | dhcf,/node/1243546,10
2016 District of Columbia Annual Technical Report (ATR) | dhcf,/publication/2016-district-columbia-annual-technical-report-atr,1
2016 Extended Provider Summer Hours: No Shots/No School | dhcf,/publication/2016-extended-provider-summer-hours-no-shotsno-school,1
2017 DHCF Medicaid Updates | dhcf,/am/page/2017-dhcf-medicaid-updates,3
2017 DHCF Medicaid Updates | dhcf,/page/2017-dhcf-medicaid-updates,21
2017 District of Columbia Annual Technical Report (ATR) | dhcf,/node/1325951,4
2017 District of Columbia Annual Technical Report (ATR) | dhcf,/publication/2017-district-columbia-annual-technical-report-atr,10
2018 DHCF Medicaid Updates | dhcf,/am/node/1302536,8
2018 DHCF Medicaid Updates | dhcf,/es/node/1302536,1
2018 DHCF Medicaid Updates | dhcf,/page/2018-dhcf-medicaid-updates-01,26
2018 District of Columbia Annual Technical Report (ATR) | dhcf,/node/1400826,4
2018 District of Columbia Annual Technical Report (ATR) | dhcf,/publication/2018-district-columbia-annual-technical-report-atr,1
2018 Q1-Q2 MCO Performance Report | dhcf,/node/1386351,5
2018 Q1-Q2 MCO Performance Report | dhcf,/publication/2018-q1-q2-mco-performance-report,5
2019 DHCF Medicaid Updates | dhcf,/am/node/1381566,2
2019 DHCF Medicaid Updates | dhcf,/es/node/1381566,0
2019 DHCF Medicaid Updates | dhcf,/page/2019-dhcf-medicaid-updates,17
2019 DHCF Medicaid Updates | dhcf,/vi/node/1381566,1
2019 District of Columbia Annual Technical Report (ATR) | dhcf,/node/1473291,8
2019 District of Columbia Annual Technical Report (ATR) | dhcf,/publication/2019-district-columbia-annual-technical-report-atr,3
2019 Q1 to Q2 MCO Performance Report | dhcf,/node/1479166,6
2019 Q1 to Q2 MCO Performance Report | dhcf,/publication/2019-q1-q2-mco-performance-report,4
2020 DHCF Medicaid Updates | dhcf,/page/2020-dhcf-medicaid-updates,22
2020 District of Columbia Annual Technical Report (ATR) | dhcf,/node/1664211,7
2020 District of Columbia Annual Technical Report (ATR) | dhcf,/publication/2020-district-columbia-annual-technical-report-atr,10
2021 DHCF Medicaid Updates | dhcf,/am/node/1514966,7
2021 DHCF Medicaid Updates | dhcf,/es/node/1514966,1
2021 DHCF Medicaid Updates | dhcf,/page/2021-dhcf-medicaid-updates,43
2021 District of Columbia Annual Technical Report (ATR) | dhcf,/node/1533491,5
2021 District of Columbia Annual Technical Report (ATR) | dhcf,/publication/2021-district-columbia-annual-technical-report-atr,11
2021 District of Columbia Annual Technical Report (ATR) | dhcf,/publication/2021-district-columbia-annual-technical-report-atr-0,5
2022 DC COVID-19 Hospital Support Grant | dhcf,/publication/2022-dc-covid-19-hospital-support-grant,5
2nd Quarter MCO Performance Evaluation Report Released | dhcf,/node/851452,5
3-13-2020 Adult Day Health Program Services Notice of Emergency and Proposed Rulemaking | dhcf,/node/1466786,4
3rd Quarter MCO Performance Evaluation Report | dhcf,/node/940092,1
"441 4th Street, NW | dhcf",/address/441-4th-street-nw,13
4th Quarter MCO Performance Evaluation Report | dhcf,/node/1017492,1
7.7 A Vaccine and Vaccine Administration at Section 1905(a)(4)(E) of the Social Security Act | dhcf,/publication/77-vaccine-and-vaccine-administration-section-1905a4e-social-security-act,4
"7.7-B (pp. 1 - 3), COVID-19 Testing at section 1905(a)(4)(F) of the Social Security Act | dhcf",/node/1651926,6
"7.7-B (pp. 1 - 3), COVID-19 Testing at section 1905(a)(4)(F) of the Social Security Act | dhcf",/publication/77-b-pp-1-3-covid-19-testing-section-1905a4f-social-security-act,1
"7.7-C (pp.1-3), COVID-19 Treatment at section 1905(a)(4)(F) of the Social Security Act | dhcf",/node/1651936,6
የኤጀንሲው ዳይሬክተሮችን ያግኙ | dhcf,/am/page/contact-agency-directors,1
About - Innovation Initiatives | dhcf,/am/innovation,2
About - Innovation Initiatives | dhcf,/fr/innovation,3
About - Innovation Initiatives | dhcf,/innovation,92
About - Innovation Initiatives | dhcf,/vi/innovation,2
About DHCF | dhcf,/featured-content/about-dhcf,31
About DHCF | dhcf,/fr/node/1091002,2
About DHCF | dhcf,/page/about-dhcf,867
About DHCF | dhcf,/page/about-dhcf/,9
About Long Term Care | dhcf,/page/about-long-term-care-0,3
About Long Term Care | dhcf,/page/about-long-term-care-01,50
About the Division of Program Integrity (DPI) | dhcf,/es/page/about-division-program-integrity-dpi,8
About the Division of Program Integrity (DPI) | dhcf,/page/about-division-program-integrity-dpi,42
ACA Eligibility State Plan Amendments | dhcf,/node/837252,37
