# Hostname exactly matches dhs.dc.gov,,
# Start date: 20250916,,
# End date: 20251216,,
,,
Page title and screen class,Page path and screen class,Views
"""Cold Emergency Plan” Remains Activated | dhs",/release/cold-emergency-plan”-remains-activated,2
| dhs,,1
| dhs,/,28361
| dhs,//checkout/,2
| dhs,/am/node,1
| dhs,/node,388
| dhs,/portal,2
| dhs,/portal/home,2
| dhs,/portal/login,6
| dhs,/vi/node,1
| dhs,/zh-hant/node,1
| Page 4 | dhs,/fr/node,11
| Page 4 | dhs,/ko/node,7
| Page 8 | dhs,/es/node,21
"1015 Half Street, SE, 9th Floor | dhs",/address/1015-half-street-se-9th-floor,25
"1015 Half Street, SE, 9th Floor | dhs",/es/node/1332701,3
"1800 Martin Luther King Jr. Avenue, SE | dhs",/address/1800-martin-luther-king-jr-avenue-se,178
"1800 Martin Luther King Jr. Avenue, SE | dhs",/es/node/1582481,2
"1800 Martin Luther King Jr. Avenue, SE | dhs",/ko/node/1582481,3
"1800 Martin Luther King Jr. Avenue, SE | dhs",/vi/node/1582481,2
2017 Point-in-Time Count of People Experiencing Homelessness | dhs,/publication/2017-point-time-count-people-experiencing-homelessness,8
2024 Point-In-Time Results Provide Latest Snapshot of Homelessness in the District | dhs,/release/2024-point-time-results-provide-latest-snapshot-homelessness-district,68
"2025 Point-In-Time Results Show Decrease in Homelessness, Highlighting Continued Success of Key Services and Housing Investments | dhs",/node/1780531,4
"2025 Point-In-Time Results Show Decrease in Homelessness, Highlighting Continued Success of Key Services and Housing Investments | dhs",/release/2025-point-time-results-show-decrease-homelessness-highlighting-continued-success-key,169
"441 4th Street, NW | dhs",/address/441-4th-street-nw,68
"64 New York Avenue, NE | dhs",/address/64-new-york-avenue-ne,555
801 East Men’s Shelter Closed Tonight Due to Facility Repair | dhs,/release/801-east-men’s-shelter-closed-tonight-due-facility-repair,4
A.D. Rachel Pierre | dhs,/biography/ad-rachel-pierre,919
A.D. Rachel Pierre | dhs,/biography/d-rachel-pierre,4
A.D. Rachel Pierre | dhs,/es/node/1557356,1
A.D. Rachel Pierre | dhs,/node/1557356,1
የDHS መረጃ - Amharic (አማርኛ) | dhs,/page/የdhs-መረጃ-amharic-አማርኛ,53
“Cold Emergency Plan” Activated Throughout the Weekend | dhs,/node/1135153,1
“Cold Emergency Plan” Activated Throughout the Weekend | dhs,/release/district-activate-“cold-emergency-plan”-5,6
About DHS | dhs,/am/page/about-dhs,1
About DHS | dhs,/es/page/about-dhs,1
About DHS | dhs,/fr/page/about-dhs,5
About DHS | dhs,/page/about-dhs,521
About DHS | dhs,/vi/page/about-dhs,5
Accessing Low-Barrier Shelter | dhs,/fr/page/accessing-low-barrier-shelter,1
Accessing Low-Barrier Shelter | dhs,/ko/page/accessing-low-barrier-shelter,5
Accessing Low-Barrier Shelter | dhs,/page/accessing-low-barrier-shelter,932
Accessing Low-Barrier Shelter | dhs,/vi/page/accessing-low-barrier-shelter,1
Accessing Short-Term Family Housing | dhs,/am/page/accessing-short-term-family-housing,1
Accessing Short-Term Family Housing | dhs,/es/page/accessing-short-term-family-housing,1
Accessing Short-Term Family Housing | dhs,/fr/page/accessing-short-term-family-housing,1
Accessing Short-Term Family Housing | dhs,/page/accessing-short-term-family-housing,2673
Accessing Short-Term Family Housing | dhs,/vi/page/accessing-short-term-family-housing,1
Adult Protective Services Annual Report | dhs,/ko/publication/adult-protective-services-annual-report,2
Adult Protective Services Annual Report | dhs,/publication/adult-protective-services-annual-report,9
Alternatives to the Court Experience (ACE) Diversion Program | dhs,/node/1256681,5
Alternatives to the Court Experience (ACE) Diversion Program | dhs,/page/alternatives-court-experience-ace-diversion-program,363
Announcing Solicitation for Property Offers- SFO | dhs,/release/announcing-solicitation-property-offers-sfo,3
Application for Medicaid Recertification/Renewal Form | dhs,/page/application-medicaid-recertificationrenewal-form,189
Apply & Recertify for Benefits | dhs,/am/node/1497346,8
Apply & Recertify for Benefits | dhs,/es/node/1497346,4
Apply & Recertify for Benefits | dhs,/fr/node/1497346,2
Apply & Recertify for Benefits | dhs,/page/apply-recertify-benefits,20519
Apply & Recertify for Benefits | dhs,/service/apply-recertify-benefits,752
Apply & Recertify for Benefits | dhs,/vi/node/1497346,1
Apply and Recertify for Benefits | dhs,/am/service/apply-and-recertify-benefits,6
Apply and Recertify for Benefits | dhs,/node/117482,3
Apply and Recertify for Benefits | dhs,/service/apply-and-recertify-benefits,1416
Apply and Recertify for Benefits | dhs,/service/apply-benefits,4
Apply for Public Benefits | dhs,/page/apply-public-benefits,2164
"Arrest Made in a Burglary One while Armed (Gun) Offense: 800 Block of Marietta Place, Northwest | dhs",/release/arrest-made-burglary-one-while-armed-gun-offense-800-block-marietta-place-northwest,1
Arrest Made in Burglary Two of an Establishment Offenses in the Second District | dhs,/release/arrest-made-burglary-two-establishment-offenses-second-district,1
Authorization for Release of Information | dhs,/fr/publication/authorization-release-information,1
Authorization for Release of Information | dhs,/publication/authorization-release-information,44
Background and Important Documents | dhs,/page/background-and-important-documents,133
Bowser Administration Announces Updates to the District’s Heat Plan | dhs,/node/1786561,8
Bowser Administration Announces Updates to the District’s Heat Plan | dhs,/release/bowser-administration-announces-updates-districts-heat-plan,3
Bowser Administration Expands Services for Residents Experiencing Homelessness During Martin Luther King Jr. Memorial Library Closure | dhs,/release/bowser-administration-expands-services-residents-experiencing-homelessness-during-martin,12
Brian Campbell | dhs,/biography/brian-campbell,212
Brian Campbell | dhs,/node/1765631,84
Bridge Housing | dhs,/am/node/1758026,4
Bridge Housing | dhs,/es/node/1758026,6
Bridge Housing | dhs,/fr/node/1758026,1
Bridge Housing | dhs,/ko/node/1758026,5
Bridge Housing | dhs,/page/bridge-housing,1001
Bridge Housing | dhs,/vi/node/1758026,8
Burial Assistance | dhs,/am/service/burial-assistance,9
Burial Assistance | dhs,/ko/service/burial-assistance,1
Burial Assistance | dhs,/node/117282,2
Burial Assistance | dhs,/service/burial-assistance,2171
Burial Assistance | dhs,/service/burial-assistance/,1
Burial Assistance | dhs,/vi/service/burial-assistance,1
Call Center Wait Times | dhs,/am/node/1617301,1
Call Center Wait Times | dhs,/featured-content/call-center-wait-times,44
Call Center Wait Times | dhs,/vi/node/1617301,1
Career MAP | dhs,/page/career-map,597
Certified Providers Contact Information 2017 | dhs,/publication/certified-providers-contact-information-2017,1
Changes to Process for Replacement of Stolen EBT Benefits | dhs,/page/changes-process-replacement-stolen-ebt-benefits,301
Child Care Services | dhs,/ko/service/child-care-services,5
Child Care Services | dhs,/node/120852,237
Child Care Services | dhs,/service/child-care-services,2898
Child Care Services | dhs,/vi/service/child-care-services,2
Child Tax Credit extended to November 15 | dhs,/page/child-tax-credit-extended-november-15,20
Citizenship Supplemental Form | dhs,/am/publication/citizenship-supplemental-form,2
Citizenship Supplemental Form | dhs,/publication/citizenship-supplemental-form,56
Closing DC General Family Shelter Storyboard | dhs,/page/closing-dc-general-family-shelter-storyboard,82
Cold Emergency Plan Activated for the District Tonight | dhs,/release/cold-emergency-plan-activated-district-tonight,1
Cold Emergency Plan Activated for the District Tonight | dhs,/release/cold-emergency-plan-activated-district-tonight-0,3
COLD.DC.GOV | dhs,/am/extremeweather,1
COLD.DC.GOV | dhs,/extremeweather,10097
