# Hostname exactly matches does.dc.gov,,
# Start date: 20250916,,
# End date: 20251216,,
,,
Page title and screen class,Page path and screen class,Views
| DC Infrastructure Academy,/service/dc-infrastructure-academy,1
| does,/,77047
| does,//checkout/,5
| does,/am,16
| does,/es,16
| does,/fr,8
| does,/index.php,1
| does,/node,7254
| does,/node/,2
| Page 19 | does,/es/node,4
| Page 6 | does,/am/node,2
"1015 Half Street, SE, 9th Floor | does",/address/1015-half-street-se-9th-floor,4
"1800 Martin Luther King Jr. Avenue, SE | does",/address/1800-martin-luther-king-jr-avenue-se,14
"1800 Martin Luther King Jr. Avenue, SE | does",/am/node/1582481,1
2007-2011 District of Columbia Annual Economic Report | does,/page/2007-2011-district-columbia-annual-economic-report,5
2012 Quarterly Data | does,/node/600722,1
2013 Quarterly Data | does,/node/827612,5
2014 Quarterly Data | does,/page/2014-quarterly-data,2
2015 Quarterly Data | does,/page/2015-quarterly-data,2
2016 Quarter Data | does,/page/2016-quarter-data,4
2017 Articles | does,/node/1493501,1
2017 Articles | does,/page/2017-articles,5
2017 Quarterly Data | does,/page/2017-quarterly-data,1
2018 Articles | does,/node/1493506,1
2018 Articles | does,/page/2018-articles,3
2018 MBSYEP Report | does,/node/1389361,5
2018 MBSYEP Report | does,/publication/2018-mbsyep-report,1
2018 Quarterly Data | does,/page/2018-quarterly-data,1
2019 Articles | does,/node/1493511,1
2019 Articles | does,/page/2019-articles,5
2019 Quarterly Data | does,/page/2019-quarterly-data,1
2020 Articles | does,/node/1493726,1
2020 Articles | does,/page/2020-articles,9
2020 Quarterly Data | does,/node/1495726,1
2021 OWC Forms | does,/publication/2021-owc-forms,19
2021 Quarterly Data | does,/publication/2021-quarterly-data,1
2022 Food Truck Menus | does,/page/2022-food-truck-menus,4
2022 Living Wage Documents | does,/publication/2022-living-wage-documents,2
2022 Quarterly Data | does,/publication/2022-quarterly-data,1
2022 RFA - Division of State Initiatives Job Readiness Training | does,/node/1636146,6
2022 RFA - Division of State Initiatives Job Readiness Training | does,/publication/2022-rfa-division-state-initiatives-job-readiness-training,6
"2022, 2023, 2024 and 2025 Documents | does",/publication/2022-2023-2024-and-2025-documents,2
2023 Quarterly Data | does,/publication/2023-quarterly-data,1
2023 RFA - Out-of-School Youth Focused Apprenticeship Program | does,/publication/2023-rfa-out-school-youth-focused-apprenticeship-program,5
