# Hostname exactly matches dpr.dc.gov,,
# Start date: 20250916,,
# End date: 20251216,,
,,
Page title and screen class,Page path and screen class,Views
"""Adopt-a-Park"" Application | dpr",/publication/adopt-park-application,5
"""Friends of"" Organization Application | dpr",/publication/friends-organization-application,4
"""Holiday Caroling at Guy Mason"" - Guy Mason Recreation Center | dpr",/event/holiday-caroling-guy-mason-guy-mason-recreation-center,4
"""I Have a Dream” Tournament - Southeast Tennis and Learning Center | dpr",/event/i-have-dream”-tournament-southeast-tennis-and-learning-center,2
"""I Have a Dream” Tournament - Southeast Tennis and Learning Center | dpr",/event/i-have-dream”-tournament-southeast-tennis-and-learning-center-0,3
"""I Have a Dream” Tournament - Southeast Tennis and Learning Center | dpr",/vi/node/749082,6
"""Lunch and a Movie"" - Guy Mason Recreation Center | dpr",/event/lunch-and-movie-guy-mason-recreation-center-1,7
"""Movies by Moonlight"" Family Films to be Hosted by DC Department of Parks and Recreation and the National Park Service | dpr",/release/movies-moonlight-family-films-be-hosted-dc-department-parks-and-recreation-and-national-park,6
"""Teal is a Big Deal"" - Ovarian Cancer Awareness | dpr",/event/teal-big-deal-ovarian-cancer-awareness,2
#FITDC Mother’s Day 5K Fun Run/Walk | dpr,/release/fitdc-mother’s-day-5k-fun-runwalk,7
#WHITEOUT #5 Line Dance Social | dpr,/event/whiteout-5-line-dance-social,2
**UPDATE: DPR to Kick off 8th Annual Ward 8 Breast Cancer Walk | dpr,/release/update-dpr-kick-8th-annual-ward-8-breast-cancer-walk,2
| dpr,/,38627
| dpr,//checkout/,5
| dpr,/am,1
| dpr,/ar,6
| dpr,/ar/node,8
| dpr,/es,6
| dpr,/es/node,52
| dpr,/ko,2
| dpr,/ko/node,2
| dpr,/node,621
| dpr,/node/,2
| dpr,/portal/,5
| dpr,/portal/home,9
| dpr,/portal/home/osse.dc.gov/osse.dc.gov/common,1
| dpr,/portal/login,8
| dpr,/portal/login.html,20
| dpr,/portal/site,1
| dpr,/portal/site/DCPS/DCPS/back2school/balloushs.html,1
| dpr,/portal/site/DCPS/Teachingandlearning/pacing_guides/music,1
| dpr,/portal/site/DCPS/index.action,2
| dpr,/portal/site/DCPS/master/studentsupports.htm,2
| dpr,/portal/site/DCPS/offices/ohr/benefitsforms.htm,1
| dpr,/portal/site/dc/menuitem.ef0bba46d489d8d4efd2471014f62010,3
| dpr,/portal/syahoo.comite,1
| dpr,/portalwip,8
| dpr,/vi,2
| Page 1114 | dpr,/fr/node,7
| Page 17 | dpr,/zh-hant/node,2
| Page 2 | dpr,/am/node,4
"1015 Half Street, SE, 9th Floor | dpr",/address/1015-half-street-se-9th-floor,4
"1015 Half Street, SE, 9th Floor | dpr",/am/node/1332701,1
10th Street Park - Feature Board | dpr,/publication/10th-street-park-feature-board,8
10th Street Park - Rendering with Memorial Elements | dpr,/publication/10th-street-park-rendering-memorial-elements,14
10th Street Park Aerial View | dpr,/publication/10th-street-park-aerial-view-0,12
10th Street Park Development | dpr,/page/10th-street-park-development,40
11th & Monroe Street Playground Temporarily Closed | dpr,/release/11th-monroe-street-playground-temporarily-closed,7
11th and Monroe Concept Final Drawing | dpr,/publication/11th-and-monroe-concept-final-drawing,1
11th and Monroe Street Park Renovation | dpr,/page/11th-and-monroe-street-park-renovation,7
"1275 First Street, NE | dpr",/address/1275-first-street-ne,49
12th Annual Blacks in Wax: The Power of One | dpr,/release/12th-annual-blacks-wax-power-one,4
13th Annual Heart to Hart Tennis Experience | dpr,/release/13th-annual-heart-hart-tennis-experience,4
14th and Girard Streets Park Redevelopment | dpr,/page/14th-and-girard-streets-park-redevelopment,19
14th Annual Blacks in Wax Takes Virtual Journey through Importance of Voting | dpr,/release/14th-annual-blacks-wax-takes-virtual-journey-through-importance-voting,13
"14th, Oak and Ogden Park Improvements | dpr",/page/14th-oak-and-ogden-park-improvements,1
15 DPR Recreation Centers will Serve as Voting Sites on Election Day | dpr,/release/15-dpr-recreation-centers-will-serve-voting-sites-election-day,3
16th Annual Heart to Heart Tennis Experience - Southeast Tennis & Learning Center | dpr,/event/16th-annual-heart-heart-tennis-experience-southeast-tennis-learning-center,1
16th Street Playground Renovation | dpr,/page/16th-street-playground-renovation,29
