# Hostname exactly matches octo.dc.gov,,
# Start date: 20250916,,
# End date: 20251216,,
,,
Page title and screen class,Page path and screen class,Views
"""Live At 9:30"" Reel | octo",/multimedia/live-930-reel,1
#SellingTech2DC New Contract Information Session | Business Process Reengineering | octo,/event/sellingtech2dc-new-contract-information-session-business-process-reengineering,2
| octo,,1
| octo,/,12709
| octo,//checkout/,7
| octo,/am,2
| octo,/am/node,1
| octo,/blog,440
| octo,/es,1
| octo,/es/node,2
| octo,/fr,1
| octo,/index.php,2
| octo,/node,487
| octo,/portal/,2
| octo,/portal/home,1
| octo,/portal/login,66
| octo,/portal/phpinfo.php,5
| octo,/portal/site/DCPS/%20-%20,1
| octo,/portal/site/DCPS/dcps/Standards/g8.htm,3
| octo,/portal/site/DCPS/dcps/parentscorner,1
| octo,/portal/site/DCPS/login.htm,8
| octo,/portal/site/DCPS/menuitem.ee7836fa3e798a932c69621014f62010,1
| octo,/portal/site/DCPS/staff/bio,2
| octo,/portal/site/dcps/about,1
| octo,/portal/webclient/index.html,1
| octo,/portal/wp-login.php,2
| Page 11 | octo,/fr/node,18
"1015 Half Street, SE, 9th Floor | octo",/address/1015-half-street-se-9th-floor,6
"1015 Half Street, SE, 9th Floor | octo",/fr/node/1332701,2
"1800 Martin Luther King Jr. Avenue, SE | octo",/address/1800-martin-luther-king-jr-avenue-se,1
"1800 Martin Luther King Jr. Avenue, SE | octo",/fr/node/1582481,1
311 Cards | octo,/external-link/311-cards,3
311 Cards | octo,/node/1470451,6
311 Mapping Application | octo,/external-link/311-mapping-application,5
311 Mapping Application | octo,/node/712252,74
A Lighter and Cleaner DC Basemap to be Released August 8th | octo,/release/lighter-and-cleaner-dc-basemap-be-released-august-8th,6
哥伦比亚特区地理信息系统服务(Chinese) | octo,/service/哥伦比亚特区地理信息系统服务chinese,10
የ OCTO አገልግሎቶች የቋንቋ ትርጓሜዎች | octo,/node/1676996,68
የ OCTO አገልግሎቶች የቋንቋ ትርጓሜዎች | octo,/page/የ-octo-አገልግሎቶች-የቋንቋ-ትርጓሜዎች,42
የሳይበር(የኮምፑተርና የመሳሰሉት) ደህንነት (Cybersecurity) | octo,/page/የሳይበርየኮምፑተርና-የመሳሰሉት-ደህንነት-cybersecurity,7
የዲሲ የጂኦግራፊያዊ መረጃ (GIS) አገልግሎቶች(Amharic) | octo,/fr/node/1674501,1
