# Hostname exactly matches otr.cfo.dc.gov,,
# Start date: 20250916,,
# End date: 20251216,,
,,
Page title and screen class,Page path and screen class,Views
| otr,,1
| otr,/,63702
| otr,//checkout/,6
| otr,/am,10
| otr,/blog,3
| otr,/es,7
| otr,/es/node,10
| otr,/node,380
| otr,/node/,1
| otr,/portalwip,22
| otr,/portalwip/jserrors,1
| otr,/portalwip/qss%27%3Bqxss%28document.cookie%29%3B%27,1
| otr,/portalwip/wp-login.php,2
| otr,/vi,2
| otr,/zh-hant,1
| Page 2 | otr,/zh-hant/node,2
| Page 4 | otr,/vi/node,20
"1015 Half Street, SE, 9th Floor | otr",/address/1015-half-street-se-9th-floor,10
"1015 Half Street, SE, 9th Floor | otr",/vi/node/1332701,1
"1101 4th Street, SW | otr",/address/1101-4th-street-sw,489
"1800 Martin Luther King Jr. Avenue, SE | otr",/address/1800-martin-luther-king-jr-avenue-se,5
"1800 Martin Luther King Jr. Avenue, SE | otr",/vi/node/1582481,2
2003 Schedule L Lower Income Long-Term Homeowner Credit | otr,/publication/2003-schedule-l-lower-income-long-term-homeowner-credit,1
2005 Business Tax Forms and Publications | otr,/node/426542,5
2008 Business Tax Forms and Publications | otr,/page/2008-business-tax-forms-and-publications,1
2009 Business Tax Forms and Publications | otr,/node/395282,6
2009 D-20 - Modified Instructions for Reporting Rental Income and Expenses | otr,/node/400882,13
2009 D-20 - Modified Instructions for Reporting Rental Income and Expenses | otr,/publication/2009-d-20-modified-instructions-reporting-rental-income-and-expenses,2
2009 D-30 - Modified Instructions for Reporting Rental Income and Expenses | otr,/node/400872,14
2009 D-30 - Modified Instructions for Reporting Rental Income and Expenses | otr,/publication/2009-d-30-modified-instructions-reporting-rental-income-and-expenses,4
2009 FR-900M Employer Withholding Tax Annual Reconciliation and Report Fill-in Version | otr,/publication/2009-fr-900m-employer-withholding-tax-annual-reconciliation-and-report-fill-version,1
2010 Business Tax Forms and Publications | otr,/node/397942,6
2010 Sales Tax Law Changes (Sales Tax On Soft Drinks and Prepaid Wireless Telecommunications Charge) | otr,/node/400852,14
2010 Sales Tax Law Changes (Sales Tax On Soft Drinks and Prepaid Wireless Telecommunications Charge) | otr,/publication/2010-sales-tax-law-changes-sales-tax-soft-drinks-and-prepaid-wireless-telecommunications,6
2011 Individual Income Tax Forms | otr,/node/390082,6
