# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches dhcf.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
| dhcf,/,15625,10742,1.4545708434183577,31.721653323403462,47405,0,0
Medicaid | dhcf,/service/medicaid,7274,5066,1.4358468219502567,57.48736675878405,24510,0,0
Health Care Alliance | dhcf,/service/health-care-alliance,5967,3585,1.6644351464435145,55.05467224546722,19484,0,0
How to Apply for DC Medicaid? | dhcf,/service/how-apply-dc-medicaid,4694,3032,1.5481530343007917,35.37137203166227,15665,0,0
Meeting Recordings and Slides | dhcf,/page/meeting-recordings-and-slides,3984,2119,1.8801321378008495,26.17508258612553,10745,0,0
Medicaid Eligibility Programs | dhcf,/service/medicaid-eligibility-programs,3658,2622,1.395118230358505,26.797482837528605,12063,0,0
How to Qualify for DC Medicaid? | dhcf,/service/how-qualify-dc-medicaid,3247,2373,1.3683101559207753,60.9646017699115,9968,0,0
Health Care Alliance Program Changes (2025) | dhcf,/node/1796971,2972,1999,1.486743371685843,44.212606303151574,8683,0,0
Provider Information and Forms | dhcf,/page/provider-information-and-forms,2772,1224,2.264705882352941,54.990196078431374,9533,0,0
Electronic Prescription Order Form | dhcf,/publication/electronic-prescription-order-form,2677,1102,2.4292196007259528,31.921960072595283,10586,0,0
Medicaid Provider Portal | dhcf,/featured-content/medicaid-provider-portal,2622,1848,1.4188311688311688,30.236471861471863,9222,0,0
DC Healthy Families | dhcf,/service/dc-healthy-families,2556,1712,1.4929906542056075,50.78504672897196,8055,0,0
Health Care Alliance Program Changes (2025) | dhcf,/Alliance-Program-Changes,2376,1212,1.9603960396039604,58.41089108910891,7732,0,0
Medicaid Health Care Coverage Changes (2025) | dhcf,/medicaid-program-changes,1907,1148,1.661149825783972,57.26742160278746,5982,0,0
DHCF Medicaid Updates | dhcf,/page/dhcf-medicaid-updates-0,1869,1126,1.6598579040852575,30.214920071047956,6664,0,0
Services | dhcf,/services,1846,1702,1.0846063454759107,26.611633372502936,4858,0,0
