# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches dhs.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Supplemental Nutrition Assistance Program (SNAP) | dhs,/service/supplemental-nutrition-assistance-program-snap,30541,17234,1.772136474411048,42.519670418939306,90140,0,0
| dhs,/,28361,16917,1.6764792811964295,35.97475911804693,87661,0,0
Apply & Recertify for Benefits | dhs,/page/apply-recertify-benefits,20519,12277,1.671336645760365,40.936059297874074,57098,0,0
Find a Service Center Near You | dhs,/service/find-service-center-near-you,10944,6562,1.667784212130448,34.46434014020116,31079,0,0
SNAP Eligibility: General Requirements | dhs,/service/snap-eligibility-general-requirements,10266,7227,1.4205064342050644,54.651861076518614,31508,0,0
District Direct Website/Mobile App | dhs,/page/district-direct-websitemobile-app,10218,6108,1.6728880157170924,34.443844138834315,25818,0,0
COLD.DC.GOV | dhs,/extremeweather,9697,7377,1.314490985495459,23.117391893723735,24374,0,0
TANF for District Families | dhs,/service/tanf-district-families,9508,5539,1.716555334897996,55.17349702112295,26923,0,0
SNAP Benefits | dhs,/service/snap-benefits,8329,5955,1.398656591099916,39.75348446683459,25550,0,0
EBT Card Updates | dhs,/page/ebt-card-updates,7569,4469,1.6936674871335868,38.05191317968225,20454,0,0
Services for Individuals Experiencing Homelessness | dhs,/page/services-individuals-experiencing-homelessness,7546,4586,1.6454426515481901,56.75076319232446,19837,0,0
How to Access Short Term Family Housing | dhs,/page/how-access-short-term-family-housing,6987,4415,1.582559456398641,67.69309173272933,20313,0,0
Emergency Rental Assistance Program | dhs,/service/emergency-rental-assistance-program,6570,4062,1.617429837518464,38.700640078778925,18289,0,0
Monthly Income Limits & Fair Market Rent | dhs,/page/monthly-income-limits-fair-market-rent,4551,2796,1.6276824034334765,47.08369098712446,13503,0,0
Eviction Prevention & Rental Assistance | dhs,/service/eviction-prevention-rental-assistance,4526,2601,1.7400999615532486,71.98346789696271,11151,0,0
Rapid Rehousing for Individuals | dhs,/page/rapid-rehousing-individuals,4338,2624,1.6532012195121952,59.3891006097561,12186,0,0
Homelessness Prevention & Diversion | dhs,/service/homelessness-prevention-diversion,4284,2570,1.6669260700389106,64.22490272373541,11309,0,0
Housing Resources for Individuals | dhs,/page/housing-resources-individuals,3895,2569,1.5161541455819385,43.538731023744646,9429,0,0
Medical Assistance | dhs,/service/medical-assistance,3336,2351,1.418970650786899,47.92556358996172,9470,0,0
"Permanent Supportive Housing for Individuals and Families (Project Based, Tenant Based, Local Veterans) | dhs",/page/permanent-supportive-housing-individuals-and-families-project-based-tenant-based-local-veterans,3288,2141,1.5357309668379262,47.72909855207847,8719,0,0
Job Opportunities at DHS | dhs,/page/job-opportunities-dhs,3285,2147,1.5300419189566838,20.342803912435958,10860,0,0
DHS Call Center | dhs,/page/dhs-call-center,3194,1899,1.6819378620326488,25.737230121116376,8875,0,0
Services for Families Experiencing Homelessness  | dhs,/service/services-families-experiencing-homelessness ,2973,2007,1.4813153961136023,43.940209267563525,7120,0,0
Child Care Services | dhs,/service/child-care-services,2897,1747,1.658271322266743,47.894104178591874,8223,0,0
Accessing Short-Term Family Housing | dhs,/page/accessing-short-term-family-housing,2673,1687,1.5844694724362773,59.49970361588619,7811,0,0
Recertification & Mid-certification Public Benefits | dhs,/page/recertification-mid-certification-public-benefits,2359,1309,1.8021390374331552,49.05194805194805,5694,0,0
Interim Disability Assistance | dhs,/service/interim-disability-assistance,2299,1241,1.8525382755842064,65.02256244963739,6735,0,0
