# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches dob.dc.gov
# Start date: 20260501
# End date: 20260731
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
DC Department of Buildings,/,60674,24901,2.436608971527248,56.36347937833822,175365,0,0
ProjectDox | dob,/projectdox,15475,3664,4.223526200873362,48.198689956331876,49497,0,0
Records Management | dob,/service/records-management,14715,5567,2.6432548949164723,25.335009879647924,41689,0,0
Access DC Initiative | dob,/accessdc,14399,7926,1.8166792833711833,19.19871309613929,45353,0,0
Permitting in the District of Columbia | dob,/page/permitting-district-columbia,11665,6662,1.7509756829780847,34.23341338937256,33405,0,0
Certificate of Occupancy | dob,/service/get-certificate-occupancy,11429,5713,2.000525118151584,64.26973569053037,32531,0,0
DOB Public Dashboard | dob,/page/agency-performance-dob,8907,4559,1.953717920596622,42.02961175696424,30714,0,0
Get An Inspection | dob,/service/get-inspection,8740,4911,1.779678273264101,35.683771126043574,22842,0,0
Online Resources | dob,/service/online-resources,8142,5215,1.5612655800575264,38.16855225311601,22415,0,0
DC Construction Codes | dob,/page/dc-construction-codes,6118,3339,1.8322851153039832,39.79904162923031,23062,0,0
Permit Resources | dob,/page/permit-resources,5472,3492,1.5670103092783505,23.443298969072163,19040,0,0
How to Get a Permit | dob,/page/get-permit,5187,3174,1.6342155009451795,85.55828607435413,15816,0,0
Get a Home Occupation Permit | dob,/node/1616176,4664,1971,2.3663115169964484,72.01420598680873,12251,0,0
DC Housing Code Standards | dob,/service/dc-housing-code-standards,4627,2754,1.6801016702977487,52.02360203340596,13044,0,0
Construction Code Development | dob,/page/construction-code-development,4469,2137,2.091249415067852,12.950865699578848,10445,0,0
Resources & Tools | dob,/page/resources-tools,4405,2878,1.5305767894371092,24.68241834607366,12675,0,0
Plan Review and Permit Timelines - Service Level Agreements | dob,/publication/plan-review-and-permit-timelines-service-level-agreements,3685,2317,1.5904186447993094,10.94044022442814,11248,0,0
Overview of Permitting Process | dob,/page/overview-permitting-process-0,3629,2492,1.4562600321027288,40.9454253611557,11312,0,0
Tenant Resources | dob,/page/tenant-resources,3480,2338,1.4884516680923867,40.31950384944397,10461,0,0
View Land Records | dob,/service/view-land-records,3421,1986,1.7225579053373616,14.853474320241691,10092,0,0
Vacant Buildings | dob,/vacantbuildings,2946,1552,1.8981958762886597,73.1778350515464,9850,0,0
Notice of Infraction | dob,/noi,2756,1511,1.8239576439444076,65.25082726671079,8089,0,0
DOB Permit Wizard | dob,/node/1620686,2415,1647,1.4663023679417122,24.2896174863388,7402,0,0
Instant Permits for Simple Scopes of Work | dob,/instantpermits,2352,1305,1.8022988505747126,84.54482758620689,6793,0,0
Enforcement Action | dob,/page/enforcement-action,2169,1429,1.5178446466060183,38.91462561231631,6613,0,0
Noise Regulations | dob,/node/1620796,2158,1484,1.454177897574124,25.07345013477089,6686,0,0
Neighbor Notification | dob,/page/neighbor-notification,2120,1070,1.9813084112149533,96.25700934579439,6678,0,0
DC Department of Buildings,/node,2092,2478,0.8442292171105731,2.9192897497982244,7235,0,0
Building Permit Fee Schedule | dob,/node/1620346,1964,1220,1.6098360655737705,69.94016393442622,5768,0,0
How To Resolve a Stop Work Order | dob,/service/appeal-stop-work-order,1845,1377,1.3398692810457515,25.657952069716774,5017,0,0
Surveyor Services | dob,/page/surveyor-services,1836,1105,1.6615384615384616,34.036199095022624,5571,0,0
Vacant and Blighted Buildings | dob,/vacantbuildings,1816,954,1.9035639412997905,68.72746331236897,6018,0,0
Homeowner's Center | dob,/page/homeowners-center,1711,1157,1.4788245462402765,57.73552290406223,5020,0,0
Get a Building Plat | dob,/node/1616551,1663,1006,1.6530815109343937,33.19880715705765,5160,0,0
Holidays When No Construction Is Allowed | dob,/no-construction-holidays,1531,963,1.5898234683281411,26.25649013499481,4566,0,0
DOB Permit Wizard | dob,/page/dob-permit-wizard,1528,805,1.898136645962733,33.91552795031056,4971,0,0
Certificate of Occupancy and Zoning Tips and FAQs | dob,/page/zoning-faqs,1400,1034,1.3539651837524178,60.26402321083172,3851,0,0
Accelerated Plan Review Program | dob,/apr,1387,856,1.6203271028037383,40.66355140186916,4131,0,0
Ordering a Building Plat Online | dob,/node/1618371,1379,799,1.7259073842302879,43.061326658322905,4396,0,0
Permitting FAQs | dob,/page/permitting-faqs,1297,928,1.3976293103448276,55.64547413793103,4296,0,0
Energy and Green Building | dob,/service/energy-and-green-building,1231,748,1.6457219251336899,33.0120320855615,4568,0,0
DC Department of Buildings Job Opportunities | dob,/jobs,1210,841,1.4387633769322234,32.40309155766944,3646,0,0
Report Illegal Construction | dob,/node/1616601,1197,832,1.4387019230769231,36.43870192307692,3274,0,0
Plan Review | dob,/page/plan-review,1191,800,1.48875,33.47125,4050,0,0
Zoning Services | dob,/page/zoning-services,1182,748,1.5802139037433156,39.525401069518715,3630,0,0
Basic Business License Inspection Process | dob,/page/basic-business-license-inspection-process,1167,804,1.4514925373134329,31.21268656716418,3698,0,0
Report Excessive Vegetation and/or Excessive Trash on Properties | dob,/node/1620791,1101,662,1.663141993957704,54.92296072507553,3151,0,0
More Applications | dob,/service/more-applications,1088,767,1.4185136897001305,32.33637548891786,3124,0,0
Alteration & Repair Permit | dob,/service/alteration-repair-permit,1086,741,1.465587044534413,40.35357624831309,3130,0,0
Frequently Asked Questions | dob,/service/faq,1077,913,1.1796276013143483,11.544359255202629,2702,0,0
Report a Property | dob,/service/report-property,1062,732,1.4508196721311475,29.084699453551913,2954,0,0
Inspections and Certificates for Elevators and Other Conveyances | dob,/elevators-conveyances,1052,606,1.7359735973597359,68.76072607260726,3453,0,0
Fence Permit | dob,/node/1615991,1047,563,1.8596802841918294,44.204262877442275,3097,0,0
Housing Code Inspections | dob,/service/housing-code-inspections-0,911,646,1.410216718266254,16.46594427244582,2548,0,0
Schedule an Online Appointment | dob,/appointments,907,691,1.312590448625181,12.085383502170767,2847,0,0
Certifi | dob,/certifi,888,435,2.0413793103448277,23.9632183908046,2661,0,0
Accessing ProjectDox | dob,/node/1616696,875,467,1.873661670235546,25.77301927194861,2694,0,0
Mission and Organizational Chart | dob,/page/dob-organizational-chart,864,596,1.4496644295302012,15.765100671140939,2599,0,0
File a Complaint or Issue | dob,/service/on-demand-customer-relationship-management,862,597,1.4438860971524288,17.41038525963149,2420,0,0
Open Government and FOIA | dob,/page/dc-foia-information,849,629,1.3497615262321145,37.99682034976153,2471,0,0
Third-Party Program | dob,/node/1615846,840,595,1.411764705882353,23.19327731092437,2834,0,0
2017 DC Construction Codes | dob,/node/1615636,792,540,1.4666666666666666,35.00185185185185,2937,0,0
"Obtain Documents, Forms & Records | dob",/service/obtain-documents-forms-and-records,754,549,1.3734061930783241,21.688524590163933,2192,0,0
Electrical Permit | dob,/node/1616346,738,412,1.7912621359223302,17.589805825242717,2339,0,0
Director Brian J. Hanlon | dob,/page/director-brian-j-hanlon,736,540,1.362962962962963,29.79074074074074,2191,0,0
Zoning Resources | dob,/page/zoning-resources,729,342,2.1315789473684212,58.80409356725146,2273,0,0
Construction Code Modifications | dob,/service/construction-code-modifications,711,507,1.4023668639053255,16.34122287968442,1983,0,0
General FAQs | dob,/page/general-faqs,682,530,1.2867924528301886,41.1,1861,0,0
Carbon Monoxide & Smoke Alarm Requirements | dob,/node/1616646,667,457,1.4595185995623632,46.13347921225383,2147,0,0
DOB Inspections On-Demand | dob,/dispatch,640,481,1.3305613305613306,27.517671517671516,1885,0,0
DC Department of Buildings Advances Modernization of District Construction Codes | dob,/release/dc-department-buildings-advances-modernization-district-construction-codes,627,352,1.78125,57.55397727272727,1986,0,0
About DOB | dob,/page/about-dob,623,536,1.162313432835821,20.699626865671643,1830,0,0
Resident Inspector Program | dob,/node/1616641,622,342,1.8187134502923976,105.64327485380117,1769,0,0
Vacant Buildings FAQs | dob,/page/vacant-building-faqs,613,458,1.3384279475982532,77.2467248908297,1837,0,0
Resident Services | dob,/page/residents,596,461,1.2928416485900216,14.219088937093275,1791,0,0
Permit Expediter | dob,/node/1623036,584,422,1.3838862559241707,17.703791469194314,2022,0,0
Inspection Services | dob,/page/inspection-services-for-residents,570,444,1.2837837837837838,18.85135135135135,1613,0,0
Deck Permit | dob,/node/1615961,560,349,1.6045845272206303,68.55873925501433,1725,0,0
Inspection Resources and Information | dob,/page/inspection-resources-information,557,438,1.2716894977168949,28.84474885844749,1631,0,0
News Room | dob,/newsroom,543,316,1.7183544303797469,15.136075949367088,1624,0,0
Pop-Up Permits (PUPs) | dob,/popup,537,412,1.3033980582524272,35.03155339805825,1717,0,0
Records Management Information | dob,/page/records-information,535,416,1.2860576923076923,41.76923076923077,1586,0,0
DOB Divisions | dob,/page/dob-divisions,507,456,1.111842105263158,30.513157894736842,1529,0,0
