# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches does.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
| does,/,77045,40102,1.9212258740212458,29.152835270061345,239552,0,0
File a Claim | does,/page/file-claim,47839,18036,2.6524173874473274,28.456198713683744,149799,0,0
DC Paid Family Leave | does,/page/dc-paid-family-leave,25543,15160,1.6848944591029025,29.30217678100264,93306,0,0
Federal Government Shutdown Frequently Asked Questions | does,/service/federal-government-shutdown-frequently-asked-questions,18097,11365,1.592344918609767,65.18090629124505,56097,0,0
American Job Center | does,/service/american-job-center,17892,11611,1.5409525450004307,41.02885195073637,57239,0,0
Unemployment Compensation | does,/page/unemployment-compensation,13452,7287,1.8460271716755867,31.30616165774667,38383,0,0
Start Your Unemployment Compensation Process | does,/service/start-your-unemployment-compensation-process,10921,7589,1.4390565291869812,19.160627223613123,36566,0,0
Office of Wage-Hour Compliance | does,/service/office-wage-hour-compliance-0,7668,5292,1.4489795918367347,27.834278155706727,27747,0,0
Services | does,/services,6412,4510,1.4217294900221729,30.983370288248338,17740,0,0
Job Seekers | does,/page/job-seekers,6375,5353,1.1909209788903419,13.257799364842144,25161,0,0
Resources for Impacted Federal Workers | does,/page/resources-impacted-federal-workers,5661,4352,1.30078125,26.596966911764707,19817,0,0
Apprenticeships | does,/service/apprenticeships,5657,3905,1.4486555697823305,30.639948783610755,15784,0,0
Workers' Compensation - DOES | does,/page/workers-compensation-does,5534,3078,1.797920727745289,56.19363222871995,19665,0,0
Unemployment Insurance Benefits Systems Modernization | does,/service/unemployment-insurance-benefits-systems-modernization,5214,3518,1.4820920977828311,22.78538942581012,13580,0,0
News Room | does,/newsroom,4906,4661,1.0525638275048272,1.5734820853894014,14552,0,0
Articles | does,/page/articles,4510,4401,1.0247670983867303,0.6214496705294251,13556,0,0
Youth Services | does,/service/youth-services,4454,3811,1.1687221201784308,13.594332196273944,16120,0,0
Industry Closings and Layoffs WARN Notifications 2025 | does,/page/industry-closings-and-layoffs-warn-notifications-2025,3790,2068,1.832688588007737,38.2325918762089,12811,0,0
Project Empowerment Program | does,/service/project-empowerment-program,3464,2074,1.6702025072324012,60.46624879459981,10751,0,0
UI Tax for Employers | does,/page/ui-tax-employers,3376,2105,1.6038004750593824,42.45558194774347,11267,0,0
Office of Wage-Hour for Employees | does,/page/office-wage-hour-employees,3328,1916,1.7369519832985387,68.96816283924844,10171,0,0
High School Internship Program | does,/service/high-school-internship-program,2792,1903,1.4671571203363112,24.7540725170783,9475,0,0
General UI Information | does,/page/general-ui-information,2355,1784,1.320067264573991,28.06390134529148,6398,0,0
Federal Government Shutdown Frequently Asked Questions | does,/am/node/1682951,2248,1962,1.145769622833843,18.514780835881755,7816,0,0
Office of Wage-Hour for Employers | does,/page/office-wage-hour-employers,1922,1190,1.615126050420168,41.00420168067227,7707,0,0
Unemployment Compensation for Former Federal Employees | does,/service/unemployment-compensation-former-federal-employees,1908,1421,1.3427163969035891,30.45249824067558,6920,0,0
Office of First Source Compliance | does,/page/office-of-first-source-employment-program,1850,1073,1.7241379310344827,25.427772600186394,6532,0,0
On The Job Training | does,/page/job-training,1831,1385,1.3220216606498194,32.43898916967509,5757,0,0
Sterile Processing Technician | does,/page/sterile-processing-technician,1827,1274,1.434065934065934,35.96624803767661,5916,0,0
Mayor Marion S. Barry Summer Youth Employment Program | does,/service/mayor-marion-s-barry-summer-youth-employment-program,1726,1225,1.4089795918367347,26.623673469387754,5626,0,0
Get to Know Your American Job Center (Orientation) | does,/page/get-know-your-american-job-center-orientation,1601,925,1.730810810810811,50.31351351351351,4537,0,0
"Washington, DC's Hot 50 Jobs | does",/page/washington-dcs-hot-50-jobs,1593,1304,1.2216257668711656,10.51840490797546,5943,0,0
UI Taxes | does,/page/ui-taxes,1583,1075,1.4725581395348837,24.047441860465117,4904,0,0
Federal Government Employees Frequently Asked Questions | does,/service/federal-government-employees-frequently-asked-questions,1534,1123,1.3659839715048976,52.408726625111306,4893,0,0
How to Be an Apprentice | does,/service/how-be-apprentice,1466,1001,1.4645354645354645,31.445554445554446,3925,0,0
Office of Talent & Client Services | does,/page/office-talent-client-services,1439,1149,1.2523933855526546,27.637075718015666,4204,0,0
Medstar Washington Hospital Center - Training Program | does,/page/medstar-washington-hospital-center-training-program,1420,979,1.4504596527068436,41.73033707865169,4380,0,0
Occupational Skills Training | does,/service/occupational-skills-training,1385,1022,1.3551859099804304,43.73972602739726,3801,0,0
Labor Statistics | does,/page/labor-statistics,1243,819,1.5177045177045176,15.722832722832722,3690,0,0
Grant Opportunities | does,/page/grant-opportunities,1161,733,1.5839017735334242,31.768076398362894,3449,0,0
Phlebotomy Technician | does,/page/phlebotomy-technician,1144,779,1.4685494223363287,31.42362002567394,3547,0,0
Employer Tax Information - Unemployment Insurance | does,/service/employer-tax-information-unemployment-insurance,1142,871,1.3111366245694605,27.176808266360506,3930,0,0
Workforce Innovation and Opportunity Act (WIOA) | does,/page/workforce-innovation-and-opportunity-act-wioa,1137,691,1.6454413892908828,34.39652677279305,3529,0,0
Surgical Technician | does,/page/surgical-technician,1130,753,1.50066401062417,34.59362549800797,3594,0,0
