# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches dpr.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
| dpr,/,38625,21377,1.8068484820133788,22.228282733779295,114841,0,0
DPR Youth Tackle Football League - Schedules and Results | dpr,/service/dpr-youth-tackle-football-league-schedules-and-results,20394,2479,8.226704316256555,76.25050423557886,50050,0,0
Indoor Pools | dpr,/node/1236631,12934,7573,1.707909679123201,34.67806681632114,29091,0,0
Indoor Pools | dpr,/page/indoor-pools,9868,5820,1.69553264604811,28.701374570446735,25454,0,0
DPR Account | dpr,/page/dpr-account,9522,5334,1.7851518560179978,25.7819647544057,27065,0,0
dprprograms.com | dpr,/node/1610736,8321,5939,1.4010776224953696,5.08200033675703,17442,0,0
Community Centers & Recreation Centers | dpr,/reccenters,7945,4227,1.8795836290513366,35.37449727939437,22668,0,0
Apply for a Permit | dpr,/permits,7510,4269,1.7591941906769735,21.241040056219255,18678,0,0
Wilson Aquatic Center | dpr,/page/wilson-aquatic-center,7411,4479,1.6546104041080598,37.301853092208084,22281,0,0
Register for a Program | dpr,/service/register-program,7089,4724,1.5006350550381033,15.428238780694327,17612,0,0
DPR Fitness Centers | dpr,/page/dpr-fitness-centers,5143,3456,1.4881365740740742,40.462094907407405,15692,0,0
Events & Programs | dpr,/page/events-programs,5132,3377,1.5196920343500149,18.99763103346165,15748,0,0
Find a Pool | dpr,/findapool,5000,3720,1.3440860215053763,10.781989247311827,13022,0,0
DPR Account | dpr,/node/1636261,4860,3290,1.4772036474164134,22.506686930091185,11482,0,0
Find a Facility | dpr,/locations,4698,3261,1.4406623735050599,14.702851885924563,10696,0,0
About Programs | dpr,/page/about-programs,4463,3017,1.4792840570102752,29.652303612860457,12043,0,0
William H. Rumsey Aquatic Center | dpr,/page/william-h-rumsey-aquatic-center,4007,2370,1.690717299578059,28.28354430379747,11658,0,0
How To Apply For A Permit | dpr,/page/how-apply-permit,3835,2246,1.707479964381122,28.719056099732857,10432,0,0
DPR Alerts | dpr,/dpralerts,3816,1272,3,27.17688679245283,8002,0,0
Takoma Aquatic Center | dpr,/page/takoma-aquatic-center,3542,2267,1.5624172915747685,26.18394353771504,10292,0,0
Communal Farms and Partner Urban Farms | dpr,/page/communal-farms-and-partner-urban-farms,3476,1875,1.8538666666666668,33.32853333333333,9380,0,0
Turkey Thicket Recreation Center | dpr,/turkeythicket,3446,2318,1.4866264020707507,26.791199309749786,10098,0,0
Pickleball | dpr,/pickleball,3408,1993,1.7099849473156046,25.22930255895635,9919,0,0
Services | dpr,/services,3276,2518,1.301032565528197,24.00436854646545,7280,0,0
Memberships and Passes | dpr,/service/memberships-and-passes,2958,2091,1.4146341463414633,15.954088952654232,6575,0,0
DPR Employment Opportunities | dpr,/page/dpr-employment-opportunities,2879,1975,1.4577215189873418,18.313417721518988,8528,0,0
Southeast Tennis and Learning Center (SETLC) | dpr,/page/southeast-tennis-and-learning-center-setlc,2850,1804,1.5798226164079823,39.778824833702885,8907,0,0
Grants | dpr,/page/dprgrants,2766,1174,2.356047700170358,81.38756388415673,8769,0,0
Marie Reed Aquatic Center | dpr,/page/marie-reed-aquatic-center,2753,1827,1.5068418171866447,23.600437876299946,7026,0,0
Stead Park Recreation Center | dpr,/stead,2445,1590,1.5377358490566038,25.175471698113206,6447,0,0
Youth Basketball | dpr,/service/youth-basketball,2435,1361,1.7891256429096252,24.345334313005143,7034,0,0
DPR Youth Tackle Football | dpr,/page/ytfl-00,2400,1212,1.9801980198019802,22.566831683168317,6456,0,0
Attend Events | dpr,/service/attend-events,2339,1692,1.382387706855792,13.070921985815604,5285,0,0
Parks and Recreation Facilities | dpr,/page/parks-and-recreation-facilities,2258,1852,1.2192224622030237,13.176025917926566,6600,0,0
Edgewood Recreation Center | dpr,/edgewood,2256,1498,1.506008010680908,24.803070761014688,6630,0,0
Columbia Heights Community Center | dpr,/ColumbiaHeights,2227,1473,1.5118805159538358,30.48540393754243,6329,0,0
Reservoir Park Recreation Center | dpr,/reservoirpark,2172,1504,1.4441489361702127,25.33244680851064,6313,0,0
Joy Evans Therapeutic Recreation Center | dpr,/page/joy-evans-therapeutic-recreation-center,2160,1256,1.7197452229299364,46.679140127388536,6051,0,0
DPR Tennis | dpr,/page/dpr-tennis,2095,1515,1.3828382838283828,19.374257425742574,6723,0,0
Sherwood Recreation Center | dpr,/sherwood,2038,1353,1.5062823355506283,36.37841832963784,5794,0,0
Fort Dupont Ice Arena | dpr,/page/fort-dupont-ice-arena,1982,1273,1.5569520816967792,23.596229379418695,6206,0,0
Turkey Thicket Aquatic Center | dpr,/page/turkey-thicket-aquatic-center,1937,1247,1.553327987169206,27.771451483560547,4886,0,0
Family Aquatics | dpr,/page/family-aquatics,1920,1325,1.4490566037735848,15.042264150943396,5809,0,0
Takoma Community Center | dpr,/page/takoma-community-center,1789,1265,1.4142292490118578,21.904347826086955,5044,0,0
Athletic Fields & Courts | dpr,/page/athletic-fields-courts,1751,1216,1.439967105263158,18.851973684210527,4544,0,0
DPR Events | dpr,/node/1599431,1746,1216,1.4358552631578947,7.145559210526316,3775,0,0
Community Gardens | dpr,/page/community-gardens,1687,1088,1.5505514705882353,42.434742647058826,4874,0,0
Marie Reed Community Center | dpr,/mariereed,1647,1200,1.3725,19.55666666666667,4812,0,0
Dunbar Aquatic Center | dpr,/page/dunbar-aquatic-center,1633,1093,1.4940530649588288,23.66697163769442,4201,0,0
DPR Reduced Rates | dpr,/page/dpr-reduced-rates,1616,1195,1.3523012552301255,24.969037656903765,3996,0,0
Kids Sports & Fitness | dpr,/page/kids-sports-fitness,1616,1072,1.507462686567164,22.247201492537314,5451,0,0
Deanwood Community Center | dpr,/deanwood,1529,1026,1.4902534113060428,28.51169590643275,4578,0,0
Adults Aquatics | dpr,/page/adults-aquatics,1503,960,1.565625,22.71875,5180,0,0
Deanwood Aquatic Center | dpr,/page/deanwood-aquatic-center,1409,920,1.5315217391304348,25.429347826086957,3907,0,0
Youth Winter Basketball League - Schedule and Results | dpr,/service/2017-youth-winter-basketball-league-schedule-and-results0,1405,831,1.6907340553549939,17.03971119133574,3878,0,0
Permit Windows | dpr,/page/permit-windows,1364,730,1.8684931506849316,51.75342465753425,3435,0,0
Guy Mason Community Center | dpr,/guymason,1325,891,1.4870931537598204,19.656565656565657,3885,0,0
Reservoir Park Aquatic Center | dpr,/node/1729056,1250,905,1.3812154696132597,22.959116022099447,2897,0,0
Barry Farm Recreation Center | dpr,/BarryFarm,1227,845,1.4520710059171598,24.059171597633135,3489,0,0
Chevy Chase Community Center | dpr,/chevychasecom,1212,886,1.3679458239277653,26.79232505643341,3692,0,0
Palisades Community Center | dpr,/palisades,1211,849,1.426383981154299,22.709069493521792,3420,0,0
Find a Park | dpr,/service/find-park,1195,956,1.25,9.635983263598327,3125,0,0
Reservoir Park Recreation Center | dpr,/node/1729036,1191,826,1.4418886198547216,24.648910411622275,3385,0,0
Emery Heights Community Center | dpr,/emery,1142,763,1.4967234600262123,29.96330275229358,3200,0,0
Mayor Muriel Bowser's Fit DC Fresh Start 5K | dpr,/page/mayor-muriel-bowsers-fit-dc-fresh-start-5k,1096,685,1.6,24.313868613138688,3462,0,0
Outdoor Pools | dpr,/page/outdoor-pools,1094,864,1.2662037037037037,18.48263888888889,3166,0,0
