# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches octo.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
| octo,/,12706,10352,1.2273956723338486,10.399922720247295,37552,0,0
Technology Support Services | octo,/page/technology-support-services,4715,4332,1.0884118190212373,14.016620498614959,16122,0,0
Online Maps Listing | octo,/page/online-maps-listing,4425,4002,1.105697151424288,5.355072463768116,18154,0,0
Police Service Area Finder | octo,/service/police-service-area-finder,2783,1248,2.229967948717949,10.868589743589743,8727,0,0
Police Service Area Details Application | octo,/node/716562,2110,909,2.3212321232123214,0.8096809680968097,3525,0,0
DC GIS Services | octo,/service/dc-gis-services,2017,1488,1.355510752688172,15.666666666666666,6114,0,0
IT Careers | octo,/jobs,1904,1206,1.5787728026533996,27.801824212271974,6282,0,0
New IT Service Center | octo,/page/new-it-service-center,1271,912,1.393640350877193,14.169956140350877,3971,0,0
Transportation Online Permitting System | octo,/service/transportation-online-permitting-system,1081,713,1.5161290322580645,12.680224403927069,3422,0,0
Data Catalog | octo,/external-link/data-catalog,938,855,1.0970760233918129,0.9871345029239766,3377,0,0
Page not found | octo,/page/dGVjaG5vbG,865,865,1,8.176878612716763,3070,0,0
About the CTO | octo,/biography/about-cto,803,606,1.325082508250825,24.265676567656765,2194,0,0
We are sorry; the page you requested is no longer available. | octo,/page/dc-online-mapping,769,660,1.165151515151515,8.024242424242424,2272,0,0
Services | octo,/Services,672,496,1.3548387096774193,31.306451612903224,1767,0,0
DC One Card | octo,/page/dc-one-card,637,432,1.474537037037037,35.476851851851855,1870,0,0
Master Address Repository | octo,/service/master-address-repository,609,294,2.0714285714285716,23.18027210884354,1916,0,0
Open Data DC Apps and Maps Gallery | octo,/node/785042,608,544,1.1176470588235294,0.34558823529411764,1002,0,0
About OCTO | octo,/page/about-octo,503,393,1.2798982188295165,25.282442748091604,1503,0,0
Policies | octo,/itpolicies,480,249,1.927710843373494,54.35341365461847,1394,0,0
Open Government and FOIA - OCTO | octo,/page/open-government-and-foia-octo,452,373,1.2117962466487935,8.53887399463807,1855,0,0
How to Identify a Suspicious Email | octo,/page/how-identify-suspicious-email,436,372,1.1720430107526882,26.690860215053764,1520,0,0
| octo,/blog,425,361,1.1772853185595569,7.055401662049862,1798,0,0
Media | octo,/page/media-11,422,372,1.1344086021505377,7.32258064516129,1713,0,0
AI/ML Governance Policy | octo,/page/aiml-governance-policy,378,238,1.588235294117647,44.86974789915966,1214,0,0
DC One Card Transition | octo,/onecardtransition,328,203,1.6157635467980296,51,890,0,0
OCTO Programs | octo,/octo-programs,320,249,1.285140562248996,37.31325301204819,849,0,0
OCTOPod | octo,/page/octopod,313,143,2.1888111888111887,59.72727272727273,941,0,0
Working with DC Government | octo,/smarter,310,223,1.390134529147982,6.901345291479821,1036,0,0
Apply for a DC One Card | octo,/service/apply-dc-one-card,306,217,1.4101382488479262,36.774193548387096,819,0,0
Mobile Apps | DC,/mobile-apps,301,280,1.075,3.482142857142857,1307,0,0
Fire and EMS Locations | octo,/service/fire-and-ems-locations,299,249,1.2008032128514057,15.224899598393574,1043,0,0
About DC One Card | octo,/page/about-dc-one-card,278,217,1.2811059907834101,29.23041474654378,868,0,0
Cybersecurity | octo,/cybersecurity,274,214,1.280373831775701,36.26635514018692,835,0,0
We are sorry; the page you requested is no longer available. | octo,/page/dc-one-card,233,203,1.1477832512315271,3.3054187192118225,742,0,0
Public WiFi | octo,/wifi,229,199,1.150753768844221,18.055276381909547,738,0,0
Service Center Locations | octo,/page/service-center-locations,223,147,1.5170068027210883,40.795918367346935,515,0,0
DC One Card - Frequently Asked Questions | octo,/page/dc-one-card-frequently-asked-questions,219,160,1.36875,37.825,569,0,0
Agency Publisher Resources | octo,/page/agency-publisher-resources,206,129,1.5968992248062015,37.02325581395349,676,0,0
Content Filtering Standard | octo,/node/1285146,195,159,1.2264150943396226,25.79874213836478,651,0,0
Bowser Administration Announces First-of-Its-Kind AI Pilot Program of New Platform from MIT Governance Lab and Stanford Digital Economy Lab | octo,/release/bowser-administration-announces-first-its-kind-ai-pilot-program-new-platform-mit-governance,193,149,1.2953020134228188,29.590604026845636,663,0,0
AI/ML Adoption and/or Usage Guidelines | octo,/page/aiml-adoption-andor-usage-guidelines,185,107,1.7289719626168225,28.38317757009346,484,0,0
Enterprise VPN | octo,/publication/enterprise-vpn,185,18,10.277777777777779,22.11111111111111,408,0,0
Data Catalog | octo,/node/159922,184,141,1.3049645390070923,0.2127659574468085,225,0,0
Open Data | octo,/service/open-data,177,148,1.195945945945946,14.358108108108109,468,0,0
We are sorry; the page you requested is no longer available. | octo,/service/citywide-data-warehouse-citydw,176,75,2.3466666666666667,6.226666666666667,458,0,0
Services | octo,/services,175,155,1.1290322580645162,24.729032258064517,486,0,0
IT Standards | octo,/service/it-standards,169,139,1.2158273381294964,24.949640287769785,402,0,0
DC Gov Awards | octo,/page/dc-gov-awards,158,143,1.1048951048951048,13.713286713286713,496,0,0
District Agency Support | octo,/page/district-agency-support,145,120,1.2083333333333333,13.666666666666666,389,0,0
DC 311 Mapping | octo,/service/dc-311-mapping,144,96,1.5,13.697916666666666,400,0,0
Internet Access and Use Policy | octo,/node/707122,137,123,1.113821138211382,19.83739837398374,457,0,0
Washington DC Snowplow Tracker | octo,/service/washington-dc-snowplow-tracker,134,103,1.3009708737864079,7.854368932038835,494,0,0
Eligibility Requirements | octo,/page/eligibility-requirements-02,133,93,1.4301075268817205,34.26881720430107,325,0,0
District Government Web Style and Standards | octo,/page/district-government-web-style-and-standards,129,89,1.449438202247191,24.415730337078653,422,0,0
We are sorry; the page you requested is no longer available. | octo,/service/apply-dc-one-card,129,107,1.205607476635514,14.551401869158878,324,0,0
Contact Agency Directors | octo,/page/contact-agency-directors,126,115,1.0956521739130434,14.591304347826087,454,0,0
DC Crime Cards | octo,/service/dc-crime-cards,121,96,1.2604166666666667,11.104166666666666,376,0,0
Online Maps Listing | octo,/node/708212,119,104,1.1442307692307692,13.576923076923077,322,0,0
"Development, Training and Support | octo",/page/development-training-and-support,118,85,1.388235294117647,23.694117647058825,286,0,0
Telework Policy | octo,/publication/telework-policy,117,95,1.231578947368421,49.21052631578947,380,0,0
Coordinate System Standards | octo,/page/coordinate-system-standards,113,91,1.2417582417582418,15.714285714285714,344,0,0
Acceptable Use Policy | octo,/publication/acceptable-use-policy,112,88,1.2727272727272727,37.07954545454545,366,0,0
Office of the Chief Technology Officer | octo,/agency/office-chief-technology-officer,104,84,1.2380952380952381,20.142857142857142,305,0,0
DC Geographic Information System Program | octo,/service/dc-geographic-information-system-program,101,86,1.1744186046511629,11.883720930232558,238,0,0
Employee Resources | octo,/page/employee-resources,101,84,1.2023809523809523,38.82142857142857,257,0,0
AI Listening Session | octo,/event/ai-listening-session,99,49,2.020408163265306,41.63265306122449,296,0,0
Acceptable Use Policy | octo,/node/1523626,99,78,1.2692307692307692,46.91025641025641,290,0,0
Maps and Applications | octo,/service/maps-and-applications,98,81,1.2098765432098766,13.88888888888889,247,0,0
October is National Cyber Security Awareness Month | octo,/page/october-national-cyber-security-awareness-month,98,76,1.2894736842105263,15.894736842105264,383,0,0
DC GIS Glossary | octo,/page/dc-gis-glossary,97,87,1.1149425287356323,17.528735632183906,267,0,0
Atlas Plus | octo,/service/atlas-plus,95,68,1.3970588235294117,8.647058823529411,301,0,0
Watershed Finder | octo,/service/watershed-finder,95,80,1.1875,6.2875,362,0,0
Data Catalog | octo,/fr/external-link/data-catalog,93,91,1.021978021978022,1.1428571428571428,430,0,0
Open Data Policy | octo,/external-link/open-data-policy,91,89,1.0224719101123596,1.101123595505618,423,0,0
Page not found | octo,/media contact - https://octo.dc.gov/page/media-11,91,83,1.0963855421686748,3.4216867469879517,404,0,0
Boards and Committees | octo,/page/boards-and-committees,90,75,1.2,9.626666666666667,218,0,0
DC-NET | octo,/page/dc-net,90,81,1.1111111111111112,27.48148148148148,237,0,0
Agency Cybersecurity Training Liaisons | octo,/page/agency-cybersecurity-training-liaisons-01,89,70,1.2714285714285714,34.77142857142857,277,0,0
Data Catalog | octo,/es/external-link/data-catalog,88,87,1.0114942528735633,0.8505747126436781,404,0,0
International Travel Policy for Mobile Computing Devices | octo,/publication/international-travel-policy-mobile-computing-devices,88,66,1.3333333333333333,79.6969696969697,310,0,0
Technology Training | octo,/page/technology-training,86,75,1.1466666666666667,32.8,283,0,0
Page not found | octo,/page/media contact - https://octo.dc.gov/page/media-11,83,68,1.2205882352941178,3.6029411764705883,366,0,0
Events | octo,/events,82,65,1.2615384615384615,7.507692307692308,323,0,0
Solicite la tarjeta “DC One Card” | octo,/service/solicite-la-tarjeta-“dc-one-card”,82,58,1.4137931034482758,23.982758620689655,277,0,0
Use a DC One Card | octo,/page/use-dc-one-card,82,62,1.3225806451612903,41.403225806451616,197,0,0
Data Catalog | octo,/am/external-link/data-catalog,81,78,1.0384615384615385,0.782051282051282,367,0,0
News Room | octo,/newsroom,81,73,1.1095890410958904,4.958904109589041,313,0,0
Artificial Intelligence Task Force Wins Inaugural AI 50 Award | octo,/release/artificial-intelligence-task-force-wins-inaugural-ai-50-award,76,68,1.1176470588235294,22.323529411764707,250,0,0
Buscador de áreas de servicio policial (Spanish) | octo,/service/buscador-de-áreas-de-servicio-policial-spanish,76,60,1.2666666666666666,6.716666666666667,243,0,0
311 Mapping Application | octo,/node/712252,74,49,1.510204081632653,0.20408163265306123,94,0,0
DC State Broadband and Digital Equity Office (SBDEO) Opens Public Comment on BEAD and Digital Equity Plans | octo,/release/dc-state-broadband-and-digital-equity-office-sbdeo-opens-public-comment-bead-and-digital,74,56,1.3214285714285714,24.5,252,0,0
DC-Net | octo,/service/dc-net,72,65,1.1076923076923078,20.26153846153846,190,0,0
Email Use Policy | octo,/page/email-use-policy,71,49,1.4489795918367347,53.59183673469388,218,0,0
Online Services | octo,/online-services,71,70,1.0142857142857142,12.728571428571428,275,0,0
PropertyQuest | octo,/service/propertyquest,69,48,1.4375,35.375,215,0,0
የ OCTO አገልግሎቶች የቋንቋ ትርጓሜዎች | octo,/node/1676996,68,65,1.0461538461538462,2.923076923076923,257,0,0
Data and Records Retention Policy | octo,/publication/data-and-records-retention-policy,67,54,1.2407407407407407,28.48148148148148,239,0,0
District of Columbia Data Policy | octo,/page/district-columbia-data-policy,67,58,1.1551724137931034,6.741379310344827,237,0,0
| octo,/portal/login,66,49,1.346938775510204,10.938775510204081,209,0,0
Access Control Policy | octo,/node/855492,65,42,1.5476190476190477,164.26190476190476,180,0,0
User account | octo,/user,64,14,4.571428571428571,24,207,0,0
We are sorry; the page you requested is no longer available. | octo,/node/687292,64,50,1.28,11.9,151,0,0
OCTO 语言服务 口译 | octo,/node/1677041,62,59,1.0508474576271187,3.2203389830508473,246,0,0
Virtual Private Network (VPN) Policy | octo,/publication/virtual-private-network-vpn-policy,62,49,1.2653061224489797,28.775510204081634,211,0,0
Dịch vụ OCTO Phiên dịch ngôn ngữ | octo,/node/1677021,61,56,1.0892857142857142,2.642857142857143,258,0,0
OCTO Labs | octo,/external-link/octo-labs,61,62,0.9838709677419355,0.6935483870967742,250,0,0
Policy Definitions A-Z | octo,/node/856482,61,53,1.150943396226415,11.79245283018868,175,0,0
Annotation - View 1 | octo,/external-link/annotation-view-1,60,55,1.0909090909090908,0.9090909090909091,273,0,0
Page not found | octo,/node/locationverifier.asmx,60,60,1,3.966666666666667,273,0,0
Page not found | octo,/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact - https:/octo.dc.gov/page/media contact -,58,16,3.625,0,62,0,0
Policies | octo,/page/it-policies,58,41,1.4146341463414633,42.073170731707314,210,0,0
Proof of Identity | octo,/node/682842,58,46,1.2608695652173914,50.56521739130435,118,0,0
Interagency Data Team | octo,/page/interagency-data-team,57,50,1.14,10.74,144,0,0
Remote Work Options and Guidance | octo,/remote,57,47,1.2127659574468086,22.70212765957447,179,0,0
DC Zoning Map | octo,/service/dc-zoning-map,55,49,1.1224489795918366,6.979591836734694,173,0,0
OCTO Labs | octo,/es/external-link/octo-labs,55,55,1,0.5818181818181818,240,0,0
