# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches otr.cfo.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Real Property Tax Database Search | otr,/page/real-property-tax-database-search,127219,53178,2.3923238933393507,18.520271540862762,422824,0,0
| otr,/,63699,34415,1.8509080342873747,34.742525061746335,207171,0,0
Recorder of Deeds - Document Images | otr,/service/recorder-deeds-document-images,30954,13906,2.2259456349777076,22.081547533438805,116896,0,0
Certificate of Clean Hands | otr,/page/certificate-clean-hands,17661,9275,1.9041509433962265,52.878814016172505,54303,0,0
New Business Registration | otr,/page/new-business-registration,13226,7691,1.7196723442985307,39.645169678845406,43362,0,0
DC Individual and Fiduciary Income Tax Rates | otr,/page/dc-individual-and-fiduciary-income-tax-rates,10704,7947,1.3469233673084182,35.93720900968919,38061,0,0
Check Your Tax Refund Status | otr,/service/check-your-tax-refund-status,7462,4195,1.7787842669845053,17.47818831942789,26016,0,0
Real Property Tax Lien Sale and Resources | otr,/page/real-property-tax-lien-sale-and-resources,7089,3513,2.017933390264731,101.47167662966126,24728,0,0
Real Property Geographic Information Systems (GIS) Program | otr,/page/real-property-geographic-information-systems-gis-program,6866,4455,1.5411896745230078,21.349719416386083,25611,0,0
Real Property/Bid Tax Online Bill Payment | otr,/page/real-propertybid-tax-online-bill-payment,6406,4440,1.4427927927927928,19.86779279279279,20563,0,0
Tax Forms & Instructions | otr,/page/tax-forms-instructions,6130,3952,1.5511133603238867,33.38790485829959,19211,0,0
Recorder of Deeds | otr,/page/recorder-deeds,5944,3710,1.602156334231806,32.39083557951483,21037,0,0
Real Property | otr,/page/real-property,5390,3830,1.4073107049608355,17.82584856396867,15920,0,0
News Room | otr,/newsroom,5284,4966,1.0640354409987918,1.9480467176802256,16127,0,0
Real Property Tax Rates | otr,/page/real-property-tax-rates,5267,3717,1.4170029593758406,31.70191014258811,15748,0,0
DC Business Franchise Tax Rates | otr,/page/dc-business-franchise-tax-rates,5220,3714,1.4054927302100162,28.99299946149704,17469,0,0
Taxable and Non-Taxable Services | otr,/page/taxable-and-non-taxable-services,5060,3334,1.5176964607078585,56.12387522495501,16270,0,0
Businesses | otr,/page/business-tax,4750,3205,1.4820592823712948,30.733541341653666,14632,0,0
Real Property Public Extract Records | otr,/page/real-property-public-extract-records,4722,3604,1.3102108768035516,21.303274139844618,14945,0,0
Withholding Tax Forms | otr,/page/withholding-tax-forms,4493,2510,1.7900398406374503,47.778486055776895,14292,0,0
Recorder of Deeds Tax Forms | otr,/book/recorder-deeds-tax-forms,4156,2036,2.0412573673870336,46.1041257367387,12809,0,0
Payment Options | otr,/page/payment-options,4154,3025,1.3732231404958677,27.277685950413222,14016,0,0
"Real Property Tax Reliefs, Credits, and Deductions | otr",/page/real-property-tax-reliefs-credits-and-deductions,4108,2944,1.3953804347826086,38.655570652173914,12415,0,0
We are sorry; the page you requested is no longer available. | otr,/service/otr-recorder-deeds,3941,2764,1.4258321273516643,11.940665701881331,11540,0,0
MyTax.DC.gov | otr,/mytaxdc,3654,2527,1.445983379501385,27.383062920459043,11739,0,0
Real Property Payments & Billing | otr,/page/real-property-payments-billing,3558,2596,1.3705701078582435,18.05431432973806,10236,0,0
Real Property Public Extract Records | otr,/node/388822,3436,2746,1.2512745812090313,17.331391114348143,10696,0,0
OTR Customer Service Center | otr,/service/otr-customer-service-center-0,3430,2438,1.4068908941755538,53.14971287940935,10340,0,0
We are sorry; the page you requested is no longer available. | otr,/page/tax-forms-and-publications,3404,2480,1.3725806451612903,13.464112903225807,11946,0,0
Individual Income Tax Forms | otr,/page/individual-income-tax-forms-0,3371,2101,1.6044740599714422,37.581627796287485,11010,0,0
"Real Property and Bid Tax Payments, and Electronic Bill Notification | otr",/page/real-property-and-bid-tax-payments-and-electronic-bill-notification,3164,2370,1.3350210970464136,30.454008438818565,8817,0,0
"Notice of Oct. 1, 2025 Tax Changes | otr",/release/notice-oct-1-2025-tax-changes,3118,2185,1.4270022883295195,53.80320366132723,9795,0,0
Contact OTR | otr,/page/contact-otr,3077,2408,1.2778239202657806,54.949335548172755,9725,0,0
Sales & Use Tax | otr,/page/sales-use-tax,3020,1981,1.524482584553256,30.32155477031802,9849,0,0
Individuals | otr,/page/individuals,2858,2051,1.393466601657728,26.167235494880547,8304,0,0
Real Property Tax Bill Due Dates and Delayed Tax Bills | otr,/page/real-property-tax-bill-due-dates-and-delayed-tax-bills,2709,2001,1.353823088455772,36.21989005497252,7832,0,0
Homestead/Senior Citizen Deduction | otr,/page/homesteadsenior-citizen-deduction,2698,1836,1.4694989106753813,54.641067538126364,8371,0,0
