# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches ouc.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
| OUC,/,4755,2991,1.5897693079237714,20.321297225008358,14266,0,0
311 for City Services | OUC,/page/311-city-services,4216,3009,1.4011299435028248,29.20106347623795,12920,0,0
Become a 911 Professional! | OUC,/page/become-911-professional,3242,1802,1.7991120976692563,49.44617092119867,12169,0,0
Call 311 for Police Non-Emergencies | OUC,/page/call-311-police-non-emergencies,2800,1873,1.4949279231179926,24.681793913507743,7222,0,0
911 Performance Dashboard BETA | OUC,/page/911-performance-dashboard-beta,1642,1152,1.4253472222222223,56.734375,5741,0,0
About 311 | OUC,/page/311-about,1041,793,1.3127364438839848,56.89155107187894,2666,0,0
DC 311 Mobile App | OUC,/page/dc-311-mobile-app,814,576,1.4131944444444444,21.708333333333332,2154,0,0
911 for Emergency Services | OUC,/page/911-for-emergency-services,641,503,1.2743538767395626,28.314115308151095,2125,0,0
311 - The Citywide Call Center | OUC,/featured-content/311-citywide-call-center,603,466,1.293991416309013,36.94206008583691,1849,0,0
Telephone Reporting Unit (TRU) | OUC,/page/telephone-reporting-unit-tru,439,271,1.6199261992619927,61.28044280442804,1249,0,0
Make the Right Call | OUC,/maketherightcall,425,372,1.14247311827957,8.24731182795699,1691,0,0
OUC’s Public Safety In-building Radio Systems Requirements | OUC,/page/oucs-public-safety-building-radio-systems-requirements,399,191,2.089005235602094,65.45549738219896,1512,0,0
About 911 | OUC,/page/911-about,322,251,1.2828685258964143,24.756972111553786,755,0,0
OUC Feedback Form | OUC,/page/feedback,261,117,2.230769230769231,32.64102564102564,698,0,0
About OUC | OUC,/page/about-ouc,257,190,1.3526315789473684,26.563157894736843,705,0,0
Heather McGaffin | OUC,/biography/heather-mcgaffin,237,200,1.185,26.27,669,0,0
Public Transparency | OUC,/page/public-transparency,228,195,1.1692307692307693,33.83589743589744,729,0,0
Our Offices and Divisions | OUC,/page/our-offices-and-divisions,212,177,1.1977401129943503,29.124293785310734,640,0,0
Text to 311 | OUC,/service/text-311,211,149,1.4161073825503356,35.147651006711406,564,0,0
What Is Smart911? | OUC,/page/what-smart911,211,170,1.2411764705882353,45.42941176470588,756,0,0
Subpoenas | OUC,/page/subpoenas,205,128,1.6015625,35.5390625,619,0,0
OUC Training and Development | OUC,/page/ouc-training-and-development,192,153,1.2549019607843137,52.50326797385621,504,0,0
Supporting our Heroes in Headsets: OUC's Executive Team | OUC,/page/supporting-our-heroes-headsets-oucs-executive-team,184,145,1.2689655172413794,31.889655172413793,501,0,0
Open Government and FOIA - OUC | OUC,/page/open-government-and-foia-ouc,183,135,1.3555555555555556,53.925925925925924,501,0,0
Text to 911 | OUC,/page/text-911,182,131,1.3893129770992367,25.740458015267176,523,0,0
"Right Care, Right Now | OUC",/page/right-care-right-now1,174,125,1.392,38.368,591,0,0
THOR - Tactical Homeland Operations Response | OUC,/service/thor-tactical-homeland-operations-response,169,121,1.396694214876033,33.570247933884296,561,0,0
News Room | OUC,/newsroom,153,131,1.16793893129771,14.908396946564885,473,0,0
We Answer The Call | OUC,/page/WATC,140,118,1.1864406779661016,42.940677966101696,385,0,0
Telecommunications Equipment Operator (911 Call Taker) | OUC,/release/telecommunications-equipment-operator-911-call-taker,135,95,1.4210526315789473,53.09473684210526,351,0,0
OUC Information Technology | OUC,/page/ouc-information-technology,121,88,1.375,32.23863636363637,324,0,0
Spanish (Español) | OUC,/node/735162,113,99,1.1414141414141414,6.484848484848484,360,0,0
News Room | Page 2 | OUC,/newsroom,106,101,1.0495049504950495,3.0594059405940595,472,0,0
OUC Junior Academy | OUC,/page/junior-academy,106,74,1.4324324324324325,38.75675675675676,299,0,0
Contact Agency Directors | OUC,/page/contact-agency-directors,103,84,1.2261904761904763,12.916666666666666,378,0,0
News Room | Page 7 | OUC,/newsroom,99,94,1.053191489361702,3.351063829787234,434,0,0
911 Fund | OUC,/page/911-fund,97,71,1.3661971830985915,29.35211267605634,273,0,0
What is Text to 311? | OUC,/page/what-text-311,95,70,1.3571428571428572,47,213,0,0
Office of Unified Communications | OUC,/agency/office-unified-communications,94,78,1.205128205128205,14.025641025641026,311,0,0
History of OUC | OUC,/page/history-ouc,85,66,1.2878787878787878,41,226,0,0
News Room | Page 8 | OUC,/newsroom,83,83,1,2.6144578313253013,382,0,0
OUC Radio Engineering | OUC,/page/ouc-radio-engineering,80,48,1.6666666666666667,23.5625,218,0,0
911 and 311 Industry News | OUC,/release/911-and-311-industry-news,77,32,2.40625,22.21875,228,0,0
PulsePoint | OUC,/page/pulsepoint,74,56,1.3214285714285714,5.839285714285714,240,0,0
About the Unified Communications Center (UCC) | OUC,/page/about-unified-communications-center-ucc,69,56,1.2321428571428572,19.910714285714285,215,0,0
911 Operations Audit Road Map | OUC,/page/911-operations-audit-road-map,68,51,1.3333333333333333,47.03921568627451,168,0,0
911 Statistics Performance Dashboard | OUC,/page/911-statistics-performance-dashboard,68,63,1.0793650793650793,13.253968253968255,239,0,0
Page not found | OUC,/page/open-government-and-foia-ouc.”,67,67,1,3.91044776119403,257,0,0
OUC Network | OUC,/page/ouc-network,64,52,1.2307692307692308,22.01923076923077,197,0,0
911 (E911) Fee Remittance Report | OUC,/publication/911-e911-fee-remittance-report,62,49,1.2653061224489797,5.408163265306122,217,0,0
About Our Dispatch System | OUC,/page/about-our-dispatch-system,60,41,1.4634146341463414,17.78048780487805,151,0,0
Criteria Based Dispatch Training | OUC,/event/criteria-based-dispatch-training-8,59,45,1.3111111111111111,21.977777777777778,188,0,0
"2720 Martin Luther King Jr Avenue, SE | OUC",/address/2720-martin-luther-king-jr-avenue-se,58,41,1.4146341463414633,26.024390243902438,192,0,0
News Room | Page 5 | OUC,/newsroom,55,55,1,18.90909090909091,244,0,0
911 Operations Audit Road Map | OUC,/node/1622646,53,51,1.0392156862745099,19.901960784313726,127,0,0
911 and 311 Industry News | OUC,/ar/release/911-and-311-industry-news,53,53,1,6.471698113207547,235,0,0
News Room | Page 4 | OUC,/newsroom,53,52,1.0192307692307692,2.5384615384615383,224,0,0
News Room | Page 9 | OUC,/newsroom,52,52,1,3.1346153846153846,237,0,0
DBH and OUC Mental Health Emergency Dispatch Program | OUC,/page/dbh-and-ouc-mental-health-emergency-dispatch-program,51,42,1.2142857142857142,28.61904761904762,155,0,0
911 Direct Connect Program | OUC,/page/911-direct-connect-program,50,44,1.1363636363636365,15.795454545454545,136,0,0
News Room | OUC,/newsroom/press-releases,50,46,1.0869565217391304,2.1739130434782608,230,0,0
News Room | OUC,/am/newsroom,49,46,1.065217391304348,2.652173913043478,219,0,0
OUC Feedback Form | OUC,/am/node/1647421,49,47,1.0425531914893618,4.085106382978723,218,0,0
News Room | Page 6 | OUC,/newsroom,48,46,1.0434782608695652,1.934782608695652,207,0,0
OUC Feedback Form | OUC,/ar/node/1647421,47,43,1.0930232558139534,5.1395348837209305,213,0,0
OUC Feedback Form | OUC,/es/node/1647421,46,45,1.0222222222222221,3.1333333333333333,204,0,0
Our Offices and Divisions | OUC,/am/node/1610186,46,44,1.0454545454545454,2.7045454545454546,206,0,0
Contáctese con los directores | OUC,/es/page/contact-agency-directors,45,45,1,2.2888888888888888,201,0,0
News Room | OUC,/ar/newsroom,45,44,1.0227272727272727,1.6136363636363635,200,0,0
OUC Community Outreach | OUC,/service/ouc-community-outreach,45,40,1.125,12.9,125,0,0
የኤጀንሲው ዳይሬክተሮችን ያግኙ | OUC,/am/page/contact-agency-directors,44,42,1.0476190476190477,2.380952380952381,205,0,0
News Room | OUC,/newsroom/12,43,42,1.0238095238095237,1.9285714285714286,202,0,0
OUC in Pictures | OUC,/page/ouc-pictures,43,41,1.048780487804878,18.048780487804876,124,0,0
